country_iso3,gco_country,who_region,income_label,hdi_label,source_population_label,mv_therapy_units,centres,last_update,cases_2024,deaths_2024,all40_2024,all39_2024,population_2024,cases_2025,deaths_2025,all40_2025,all39_2025,population_2025,cases_2030,deaths_2030,all40_2030,all39_2030,population_2030,cases_2040,deaths_2040,all40_2040,all39_2040,population_2040,rt_relevant_cases_2050,deaths_2050,all40_2050,all39_2050,population_2050,release2022_cases_2025,release2022_cases_2050,thirteen_site_cases_2024,thirteen_site_cases_2050,growth,mv_units_per_1000_rt_relevant_cases_2050,baseline_density,primary,support_7,additional_units_to_cross_cutoff,dirac_matched,high_growth_low_resource,current_screen_positive,selected_site_cases_per_mv_unit_2050,unit_pressure_rank,old_growth,new_growth,old_density,new_density,old_selected,new_selected,common,old_percentile,new_percentile,gco2022_common_year_growth_percentile,gco2024_common_year_growth_percentile,gco2024_selected_cases_2050,common_year_burden_version_transition,mv_units_per_1000_selected_site_cases_2050
CAF,Central African Republic,AFRO,Low income,Low HDI,Central African Republic,,,,1448,845,2610,2635,5330700,1491,867,2687,2712,5513293,1727,998,3094,3123,6478255,2340,1332,4177,4217,8526465,3396,1934,6085,6147,10616762,1546.0,3484.0,1380,3246,1.3453038674033149,,,False,0,,0,0,False,,,1.2535575679172055,1.277665995975855,,,False,False,False,,,,,3396,Not comparable,
LKA,Sri Lanka,SEARO,Lower middle income,High HDI,Sri Lanka,29.0,9.0,2026.0,24095,14320,43103,43428,23103575,24638,14647,44033,44365,23229479,27220,16201,48455,48824,23767961,31717,18928,56245,56687,24526709,35634,21286,63002,63512,24813699,19562.0,27880.0,22311,32834,0.4788960365221,0.8138294886905764,1.2035692052293008,False,0,0.0,1,0,False,1228.7586206896551,60.0,0.4252121459973417,0.4463024596152285,1.0401721664275467,0.8138294886905764,False,False,True,36.91275167785235,36.24161073825504,36.91275167785235,36.24161073825504,35634,Not screen-positive in either version,0.8138294886905764
TCD,Chad,AFRO,Low income,Low HDI,Chad,,,,10895,6111,18486,18655,20299132,11365,6376,19268,19443,21003714,13650,7666,23065,23272,24207487,19870,11190,33247,33542,31307351,28126,15992,46618,47032,38857697,6005.0,14752.0,10692,27603,1.581551170261588,,,False,0,,0,0,False,,,1.4566194837635305,1.474791025076991,,,False,False,False,,,,,28126,Not comparable,
CHL,Chile,PAHO,High income,Very High HDI,Chile,45.0,24.0,2025.0,27483,13186,57974,59887,19764781,28388,13621,59777,61757,19859932,33383,16000,69590,71974,20233191,44996,21387,91651,95133,20542112,56343,26600,112714,117323,20320318,31355.0,54956.0,24818,51297,1.0501037004693812,0.798679516532666,1.6373758323327148,False,0,0.0,1,0,False,1252.0666666666666,56.0,0.7527029181948652,0.9847470762293926,0.8188368876919717,0.798679516532666,False,False,True,54.36241610738255,67.11409395973155,54.36241610738255,67.11409395973155,56343,Not screen-positive in either version,0.798679516532666
CHN,China,WPRO,Upper middle income,High HDI,China,2932.0,1625.0,2026.0,2724592,1404088,5096895,5150572,1405058871,2765677,1401702,5184821,5238839,1447326978,3113779,1645145,5761613,5824728,1428723164,3700386,2140711,6735315,6818213,1371597260,4033547,2523432,7262971,7361796,1286483182,2728987.0,4000184.0,2465982,3631817,0.4804223898477275,0.7269036408897678,1.0761244252350444,False,0,0.0,1,0,False,1375.6981582537517,50.0,0.4658127722851006,0.4584302505317865,0.7329662835509566,0.7269036408897678,False,False,True,37.58389261744966,37.58389261744966,37.58389261744966,37.58389261744966,4033547,Not screen-positive in either version,0.7269036408897678
COL,Colombia,PAHO,Upper middle income,High HDI,Colombia,98.0,59.0,2026.0,60174,23950,119772,123053,52886374,62562,25003,124157,127591,53425644,75643,30820,147629,151913,55736483,106082,44517,199599,205897,58576454,139961,58796,253443,261783,59385368,62443.0,114399.0,56862,133374,1.3259381128061951,0.7001950543365651,1.628610363279822,False,0,0.0,1,0,False,1428.1734693877552,48.0,0.8320548340086158,1.2371567405134107,0.8566508448500424,0.7001950543365651,False,False,True,57.71812080536913,79.86577181208054,57.71812080536913,79.86577181208054,139961,Not screen-positive in either version,0.7001950543365651
COM,Comoros,AFRO,Lower middle income,Medium HDI,Comoros,,,,329,214,565,576,866638,336,219,578,589,882854,383,250,652,665,964270,501,329,843,859,1133787,647,428,1073,1092,1307567,468.0,970.0,325,638,0.9665653495440728,,,False,0,,0,0,False,,,1.0726495726495728,0.925595238095238,,,False,False,False,,,,,647,Not comparable,
COG,"Congo, Republic of",AFRO,Lower middle income,Medium HDI,"Congo, Republic of",,,,2185,1300,3546,3575,6332969,2274,1354,3683,3713,6484446,2751,1649,4425,4460,7282275,3867,2334,6149,6195,9083978,5197,3141,8196,8255,11006481,1833.0,4197.0,2035,4844,1.3784897025171623,,,False,0,,0,0,False,,,1.2896890343698852,1.2854001759014952,,,False,False,False,,,,,5197,Not comparable,
COD,"Congo, Democratic Republic of",AFRO,Low income,Low HDI,"Congo, Democratic Republic of",1.0,1.0,2021.0,40047,24436,68866,69739,109276272,41375,25241,71139,72041,112832484,48711,29665,83627,84691,131532209,67825,41209,115880,117363,172595588,95724,58221,162326,164393,218246079,33697.0,80171.0,38447,91916,1.3902914075960746,0.0104467009318457,0.0249706594751167,True,7,45.0,1,1,True,95724.0,1.0,1.3791732201679676,1.3135709969788518,0.012473338239513,0.0104467009318457,True,True,True,83.89261744966443,85.90604026845638,83.89261744966443,85.90604026845638,95724,Retained,0.0104467009318457
CRI,Costa Rica,PAHO,Upper middle income,Very High HDI,Costa Rica,12.0,5.0,2026.0,5778,2331,11983,13604,5129921,5952,2419,12336,14022,5152959,6841,2891,14136,16179,5251506,8569,3989,17731,20601,5369813,10129,5125,20952,24636,5354161,5969.0,10981.0,5361,9355,0.7530287296642437,1.1847171487807286,2.0768431983385254,False,0,0.0,1,0,False,844.0833333333334,83.0,0.839671636790082,0.7017809139784945,1.0927966487569438,1.1847171487807286,False,False,True,58.38926174496645,52.348993288590606,58.38926174496645,52.348993288590606,10129,Not screen-positive in either version,1.1847171487807286
