country_iso3,gco_country,who_region,income_label,dirac_matched,unit_pressure_rank,selected_site_cases_per_mv_unit_2050,high_growth_q75,lower_quartile_unit_density,acceleration_risk,selected_site_cases_2024,selected_site_cases_2050,selected_site_case_increase_2050,selected_site_relative_case_growth_2050,mv_therapy_units,mv_units_per_1000_selected_site_cases_2050
QAT,Qatar,EMRO,High income,1,108.0,544.0,0,0,0,1409.0,2176.0,767.0,0.5443577004968062,4.0,1.838235294117647
REU,"France, La RÃ©union",AFRO,,1,119.0,490.6,0,0,0,1828.0,2453.0,625.0,0.3419037199124726,5.0,2.038320423970648
ROU,Romania,EURO,Upper middle income,1,129.0,452.4830508474576,0,0,0,52743.0,53393.0,650.0,0.0123239102819331,118.0,2.210027531698912
RUS,Russian Federation,EURO,Upper middle income,1,104.0,604.487676056338,0,0,0,308421.0,343349.0,34928.0,0.1132478008955291,568.0,1.6542934448622246
RWA,Rwanda,AFRO,Low income,1,21.0,7715.0,1,1,1,6598.0,15430.0,8832.0,1.3385874507426494,2.0,0.1296176279974076
LCA,Saint Lucia,PAHO,Upper middle income,0,,,0,0,0,271.0,483.0,212.0,0.7822878228782287,,
STP,Sao Tome and Principe,AFRO,Lower middle income,0,,,0,0,0,61.0,132.0,71.0,1.1639344262295082,,
SAU,Saudi Arabia,EMRO,High income,1,133.0,435.51020408163265,1,0,0,9318.0,21340.0,12022.0,1.290191028117622,49.0,2.2961574507966263
SEN,Senegal,AFRO,Lower middle income,1,28.0,4394.75,1,1,1,7178.0,17579.0,10401.0,1.4490108665366397,4.0,0.2275442289094942
SRB,Serbia,EURO,Upper middle income,1,118.0,491.6756756756757,0,0,0,19368.0,18192.0,-1176.0,-0.060718711276332,37.0,2.0338610378188213
SLE,Sierra Leone,AFRO,Low income,0,,,1,0,0,3405.0,7672.0,4267.0,1.253157121879589,,
SGP,Singapore,WPRO,High income,1,101.0,617.9642857142857,0,0,0,9383.0,17303.0,7920.0,0.8440797186400938,28.0,1.618216494249552
SVK,Slovakia,EURO,High income,1,78.0,827.625,0,0,0,15382.0,19863.0,4481.0,0.2913145234689897,24.0,1.2082766953632382
VNM,Viet Nam,WPRO,Lower middle income,1,39.0,1902.1285714285714,0,0,0,84661.0,133149.0,48488.0,0.5727312457920412,70.0,0.5257268173249517
SVN,Slovenia,EURO,High income,1,71.0,930.0,0,0,0,7149.0,8370.0,1221.0,0.17079311791859,9.0,1.075268817204301
SOM,Somalia,EMRO,Low income,0,,,1,0,0,5528.0,14537.0,9009.0,1.6297033285094067,,
ZAF,South Africa,AFRO,Upper middle income,1,69.0,967.9803921568628,0,0,0,55250.0,98734.0,43484.0,0.7870407239819005,102.0,1.0330787773208825
ZWE,Zimbabwe,AFRO,Lower middle income,1,4.0,30640.0,0,1,0,14926.0,30640.0,15714.0,1.0527937826611282,1.0,0.0326370757180156
ESP,Spain,EURO,High income,1,94.0,683.824427480916,0,0,0,140039.0,179162.0,39123.0,0.2793721748941366,262.0,1.4623636708677064
SSD,South Sudan,AFRO,Low income,0,,,0,0,0,4445.0,9500.0,5055.0,1.137232845894263,,
SDN,Sudan,EMRO,Low income,1,20.0,7758.833333333333,1,1,1,19880.0,46553.0,26673.0,1.3417002012072434,6.0,0.1288853564754151
SUR,Suriname,PAHO,Upper middle income,1,82.0,787.0,1,0,0,716.0,1574.0,858.0,1.1983240223463687,2.0,1.2706480304955527
SWZ,Eswatini,AFRO,Lower middle income,0,,,0,0,0,692.0,1234.0,542.0,0.7832369942196532,,
SWE,Sweden,EURO,High income,1,120.0,489.58024691358025,0,0,0,31678.0,39656.0,7978.0,0.25184670749416,81.0,2.042566068186403
CHE,Switzerland,EURO,High income,1,134.0,415.67058823529413,0,0,0,26122.0,35332.0,9210.0,0.3525763724064007,85.0,2.405751160421148
SYR,Syrian Arab Republic,EMRO,Low income,1,33.0,2751.6923076923076,1,1,1,14229.0,35772.0,21543.0,1.514020662028252,13.0,0.3634127250363412
TJK,Tajikistan,EURO,Lower middle income,1,30.0,3366.5,0,1,0,3135.0,6733.0,3598.0,1.1476874003189792,2.0,0.2970444081390168
THA,Thailand,SEARO,Upper middle income,1,93.0,686.9245283018868,0,0,0,82750.0,109221.0,26471.0,0.3198912386706948,159.0,1.4557640014282969
TGO,Togo,AFRO,Low income,1,18.0,8394.0,0,1,0,3862.0,8394.0,4532.0,1.1734852408078715,1.0,0.1191327138432213
TTO,Trinidad and Tobago,PAHO,High income,1,112.0,535.5714285714286,0,0,0,2420.0,3749.0,1329.0,0.5491735537190082,7.0,1.8671645772205925
ARE,United Arab Emirates,EMRO,High income,1,148.0,322.05,0,0,0,4232.0,6441.0,2209.0,0.5219754253308129,20.0,3.105107902499612
TUN,Tunisia,EMRO,Lower middle income,1,128.0,453.9375,0,0,0,8819.0,14526.0,5707.0,0.6471255244358771,32.0,2.2029464408646566
TUR,TÃ¼rkiye,EURO,Upper middle income,1,92.0,693.9433333333334,0,0,0,119508.0,208183.0,88675.0,0.7420005355290022,300.0,1.4410398543589054
