all_cancer_absolute_case_increase_2050,all_cancer_cases_2024,all_cancer_cases_2030,all_cancer_cases_2040,all_cancer_cases_2050,all_cancer_deaths_2024,all_cancer_deaths_2030,all_cancer_deaths_2040,all_cancer_deaths_2050,all_cancer_relative_case_growth_2050,brachy_units_per_1000_selected_site_cases_2050,brachytherapy_flag,brachytherapy_units,country_code,country_iso3,ct_units,dirac_country,dirac_iso3,dirac_last_update_year,dirac_matched,dirac_region,gco_country,hdi_label,acceleration_risk,high_growth_q75,income_label,kv_therapy_units,lower_quartile_unit_density,mv_therapy_units,mv_units_per_1000_all_cancer_cases_2050,mv_units_per_1000_selected_site_cases_2050,mv_units_per_million_population_2024,population_2024,population_2030,population_2040,population_2050,proton_ion_units,rt_centres_per_10000_selected_site_cases_2050,rt_centres_total,rt_centres_with_rt,selected_site_case_increase_2050,selected_site_death_increase_2050,selected_site_cases_2024,selected_site_cases_2030,selected_site_cases_2040,selected_site_cases_2050,selected_site_deaths_2024,selected_site_deaths_2030,selected_site_deaths_2040,selected_site_deaths_2050,selected_site_relative_case_growth_2050,selected_site_relative_death_growth_2050,selected_site_cases_per_mv_unit_2050,share_global_selected_site_case_increment,simulators,treatment_planning_systems,unit_pressure_rank,who_region
24930.0,15880.0,19742.0,28745.0,40810.0,9965.0,12528.0,18564.0,26581.0,1.5698992443324937,nan,,,108,BDI,,,,,0,,Burundi,Low HDI,0,1,Low income,,0,,nan,nan,nan,14047794.0,16182029.0,20131330.0,24131728.0,,nan,,,7233.0,4682.0,4308.0,5383.0,7977.0,11541.0,2693.0,3399.0,5086.0,7375.0,1.6789693593314763,1.7385815076123283,nan,0.0014005697160539988,,,,AFRO
9418.0,91507.0,96027.0,99947.0,100925.0,45559.0,48604.0,52767.0,54520.0,0.1029210880041964,0.6681076832383572,No,17,112,BLR,0,Belarus,BLR,2024,1,Eastern Europe,Belarus,Very High HDI,0,0,Upper middle income,11,0,35,0.3467921724052514,1.375515818431912,3.8645414191611915,9056702.0,8687641.0,8064474.0,7453553.0,0,5.109058754175673,13,13,2181.0,1767.0,23264.0,24343.0,25162.0,25445.0,10297.0,10922.0,11705.0,12064.0,0.09375,0.17160337962513353,727.0,0.0004223202752265687,0,0,91,EURO
36811.0,43886.0,51712.0,65976.0,80697.0,29820.0,35534.0,46259.0,57386.0,0.8387868568564006,0.057342737542290266,No,1,116,KHM,0,Cambodia,KHM,2024,1,South-Eastern Asia,Cambodia,Medium HDI,0,0,Lower middle income,0,1,3,0.03717610320086249,0.17202821262687082,0.1700794911856587,17638811.0,18827398.0,20540693.0,21931464.0,0,1.720282126268708,3,3,7880.0,5675.0,9559.0,11259.0,14355.0,17439.0,6375.0,7570.0,9808.0,12050.0,0.8243540119259337,0.8901960784313725,5813.0,0.0015258522552890241,0,0,25,WPRO
47743.0,31762.0,39447.0,56687.0,79505.0,19313.0,24123.0,35116.0,49798.0,1.5031484163465776,0.0,No,0,120,CMR,0,Cameroon,CMR,2023,1,Middle Africa,Cameroon,Medium HDI,1,1,Lower middle income,0,1,2,0.025155650588013334,0.08731336767659129,0.06867246813966593,29123753.0,33777197.0,42208014.0,51096329.0,0,0.8731336767659129,3,2,14122.0,8616.0,8784.0,11001.0,16064.0,22906.0,5181.0,6510.0,9597.0,13797.0,1.607695810564663,1.6629994209612045,11453.0,0.002734528622993858,0,0,11,AFRO
246707.0,543719.0,618026.0,721688.0,790426.0,183260.0,216611.0,270845.0,305931.0,0.4537398913777153,0.28987446205989253,No,52,124,CAN,0,Canada,CAN,2026,1,Northern America,Canada,Very High HDI,0,0,High income,14,0,296,0.3744816086515373,1.6500546301870804,7.447957772494984,39742438.0,41655600.0,43951427.0,45621892.0,0,2.8987446205989253,72,52,51520.0,29506.0,127868.0,144094.0,165012.0,179388.0,45652.0,53804.0,66688.0,75158.0,0.40291550661619796,0.6463243669499693,606.0405405405405,0.009976130481280524,0,0,103,PAHO
1047.0,893.0,1088.0,1458.0,1940.0,636.0,776.0,1054.0,1416.0,1.1724524076147815,nan,,,132,CPV,,,,,0,,Cape Verde,Medium HDI,0,1,Lower middle income,,0,,nan,nan,nan,524886.0,538625.0,557384.0,566144.0,,nan,,,341.0,237.0,281.0,343.0,468.0,622.0,191.0,232.0,320.0,428.0,1.2135231316725978,1.2408376963350785,nan,6.602990089512147e-05,,,,AFRO
6987.0,5245.0,6217.0,8394.0,12232.0,3390.0,3978.0,5297.0,7788.0,1.3321258341277407,nan,,,140,CAF,,,,,0,,Central African Republic,Low HDI,0,1,Low income,,0,,nan,nan,nan,5330700.0,6478255.0,8526465.0,10616762.0,,nan,,,1866.0,1049.0,1380.0,1649.0,2241.0,3246.0,809.0,957.0,1282.0,1858.0,1.3521739130434782,1.2966625463535228,nan,0.000361324912229609,,,,AFRO
39983.0,86531.0,97279.0,112932.0,126514.0,54269.0,61450.0,72034.0,81217.0,0.46206561810218305,0.1218249375647195,No,4,144,LKA,0,Sri Lanka,LKA,2026,1,Southern Asia,Sri Lanka,High HDI,0,0,Lower middle income,0,0,29,0.22922364323315997,0.8832307973442164,1.255216995638121,23103575.0,23767961.0,24526709.0,24813699.0,0,2.741061095206189,9,9,10523.0,6534.0,22311.0,25164.0,29254.0,32834.0,13568.0,15335.0,17888.0,20102.0,0.4716507552328448,0.4815742924528302,1132.2068965517242,0.002037632396244467,0,0,62,SEARO
56509.0,37141.0,46337.0,66789.0,93650.0,24057.0,30056.0,43413.0,61386.0,1.5214722274575267,nan,,,148,TCD,,,,,0,,Chad,Low HDI,0,1,Low income,,0,,nan,nan,nan,20299132.0,24207487.0,31307351.0,38857697.0,,nan,,,16911.0,9720.0,10692.0,13395.0,19497.0,27603.0,6013.0,7543.0,11009.0,15733.0,1.5816498316498318,1.616497588558124,nan,0.003274579630608209,,,,AFRO
112176.0,117861.0,141564.0,186784.0,230037.0,62678.0,75642.0,100061.0,123297.0,0.9517652149566014,0.1559545392518081,No,8,152,CHL,0,Chile,CHL,2025,1,South America,Chile,Very High HDI,0,0,High income,0,0,45,0.19562070449536378,0.8772442832914206,2.276777061177657,19764781.0,20233191.0,20542112.0,20320318.0,0,4.678636177554243,24,24,26479.0,12391.0,24818.0,30193.0,40843.0,51297.0,12069.0,14659.0,19634.0,24460.0,1.066927230236119,1.0266799237716464,1139.9333333333334,0.005127289577131735,0,0,60,PAHO
4377300.0,10247467.0,11586341.0,13553528.0,14624767.0,5150219.0,6023550.0,7776415.0,9112578.0,0.42715921895625525,0.07076347734481116,No,257,156,CHN,0,China,CHN,2026,1,Eastern Asia,China,High HDI,0,0,Upper middle income,124,0,2932,0.2004818264796971,0.8073093991244603,2.0867453033574703,1405058871.0,1428723164.0,1371597260.0,1286483182.0,15,4.474344384642729,1666,1625,1165835.0,1006562.0,2465982.0,2814453.0,3336649.0,3631817.0,1279831.0,1498820.0,1944850.0,2286393.0,0.47276703560691036,0.7864804024906413,1238.6824693042292,0.22574771117320805,0,0,51,WPRO
272401.0,242825.0,299542.0,405496.0,515226.0,111321.0,142310.0,203234.0,265507.0,1.1217996499536704,0.2249313959242431,No,30,170,COL,0,Colombia,COL,2026,1,South America,Colombia,High HDI,0,1,Upper middle income,0,0,98,0.19020779230861798,0.7347758933525275,1.853029288791854,52886374.0,55736483.0,58576454.0,59385368.0,0,4.423650786510114,61,59,76512.0,32965.0,56862.0,71575.0,100714.0,133374.0,22514.0,28993.0,41947.0,55479.0,1.345573493721642,1.464200053300169,1360.9591836734694,0.014815483217852006,0,0,49,PAHO
1024.0,1141.0,1317.0,1702.0,2165.0,698.0,812.0,1066.0,1374.0,0.8974583698510079,nan,,,174,COM,,,,,0,,Comoros,Medium HDI,0,0,Lower middle income,,0,,nan,nan,nan,866638.0,964270.0,1133787.0,1307567.0,,nan,,,313.0,209.0,325.0,378.0,494.0,638.0,210.0,245.0,322.0,419.0,0.963076923076923,0.9952380952380953,nan,6.0608090850947276e-05,,,,AFRO
9330.0,7121.0,8885.0,12344.0,16451.0,4519.0,5681.0,7967.0,10640.0,1.3102092402752423,nan,,,178,COG,,,,,0,,"Congo, Republic of",Medium HDI,0,1,Lower middle income,,0,,nan,nan,nan,6332969.0,7282275.0,9083978.0,11006481.0,,nan,,,2809.0,1723.0,2035.0,2558.0,3594.0,4844.0,1214.0,1538.0,2177.0,2937.0,1.3803439803439803,1.4192751235584844,nan,0.0005439237290744757,,,,AFRO
