country_iso3,country_display,who_region,income_label,dirac_last_update_year,selected_site_relative_case_growth_2050,mv_units_per_1000_selected_site_cases_2050,current_screen_positive,recent_dirac_record,recent_record_screen_positive,recency_disposition
NGA,Nigeria,AFRO,Lower middle income,2026.0,1.0890271924491752,0.0838520652270417,False,True,False,Not classified
NOR,Norway,EURO,High income,2021.0,0.3897280966767371,1.708074534161491,False,False,False,Not classified
PAK,Pakistan,EMRO,Lower middle income,2026.0,1.0410638931877385,0.3955957011933804,False,True,False,Not classified
PAN,Panama,PAHO,Upper middle income,2026.0,1.42604466062348,1.0935933655335823,False,True,False,Not classified
PNG,Papua New Guinea,WPRO,Lower middle income,2024.0,1.3067543499109466,0.1187860070083744,True,True,True,Primary country retained
PRY,Paraguay,PAHO,Upper middle income,2026.0,1.1457264957264957,0.73026621522937,False,True,False,Not classified
PER,Peru,PAHO,Upper middle income,2026.0,0.9140020629190304,1.1451667228022904,False,True,False,Not classified
PHL,Philippines,WPRO,Lower middle income,2026.0,1.060685086907199,0.4998861019008327,False,True,False,Not classified
POL,Poland,EURO,High income,2026.0,0.2017316327078227,1.287623924499092,False,True,False,Not classified
PRT,Portugal,EURO,High income,2025.0,0.0379955784819454,1.6186743908672687,False,True,False,Not classified
PRI,Puerto Rico,PAHO,High income,2021.0,-0.0156626506024096,2.4479804161566707,False,False,False,Not classified
QAT,Qatar,EMRO,High income,2023.0,0.5443577004968062,1.838235294117647,False,True,False,Not classified
REU,"France, La RÃ©union",AFRO,,2018.0,0.3419037199124726,2.038320423970648,False,False,False,Not classified
ROU,Romania,EURO,Upper middle income,2026.0,0.0123239102819331,2.210027531698912,False,True,False,Not classified
RUS,Russian Federation,EURO,Upper middle income,2026.0,0.1132478008955291,1.6542934448622246,False,True,False,Not classified
RWA,Rwanda,AFRO,Low income,2023.0,1.3385874507426494,0.1296176279974076,True,True,True,Primary country retained
SAU,Saudi Arabia,EMRO,High income,2026.0,1.290191028117622,2.2961574507966263,False,True,False,Not classified
SEN,Senegal,AFRO,Lower middle income,2024.0,1.4490108665366397,0.2275442289094942,True,True,True,Primary country retained
SRB,Serbia,EURO,Upper middle income,2026.0,-0.060718711276332,2.0338610378188213,False,True,False,Not classified
SGP,Singapore,WPRO,High income,2024.0,0.8440797186400938,1.618216494249552,False,True,False,Not classified
SVK,Slovakia,EURO,High income,2026.0,0.2913145234689897,1.2082766953632382,False,True,False,Not classified
VNM,Viet Nam,WPRO,Lower middle income,2026.0,0.5727312457920412,0.5257268173249517,False,True,False,Not classified
SVN,Slovenia,EURO,High income,2026.0,0.17079311791859,1.075268817204301,False,True,False,Not classified
ZAF,South Africa,AFRO,Upper middle income,2022.0,0.7870407239819005,1.0330787773208825,False,False,False,Not classified
ZWE,Zimbabwe,AFRO,Lower middle income,2022.0,1.0527937826611282,0.0326370757180156,False,False,False,Not classified
ESP,Spain,EURO,High income,2024.0,0.2793721748941366,1.4623636708677064,False,True,False,Not classified
SDN,Sudan,EMRO,Low income,2022.0,1.3417002012072434,0.1288853564754151,True,False,False,Primary country; record before 2023
SUR,Suriname,PAHO,Upper middle income,2026.0,1.1983240223463687,1.2706480304955527,False,True,False,Not classified
SWE,Sweden,EURO,High income,2026.0,0.25184670749416,2.042566068186403,False,True,False,Not classified
CHE,Switzerland,EURO,High income,2024.0,0.3525763724064007,2.405751160421148,False,True,False,Not classified
SYR,Syrian Arab Republic,EMRO,Low income,2023.0,1.514020662028252,0.3634127250363412,True,True,True,Primary country retained
TJK,Tajikistan,EURO,Lower middle income,2021.0,1.1476874003189792,0.2970444081390168,False,False,False,Not classified
THA,Thailand,SEARO,Upper middle income,2026.0,0.3198912386706948,1.4557640014282969,False,True,False,Not classified
TGO,Togo,AFRO,Low income,2025.0,1.1734852408078715,0.1191327138432213,False,True,True,New in recent-record analysis
TTO,Trinidad and Tobago,PAHO,High income,2026.0,0.5491735537190082,1.8671645772205925,False,True,False,Not classified
ARE,United Arab Emirates,EMRO,High income,2025.0,0.5219754253308129,3.105107902499612,False,True,False,Not classified
TUN,Tunisia,EMRO,Lower middle income,2026.0,0.6471255244358771,2.2029464408646566,False,True,False,Not classified
TUR,TÃ¼rkiye,EURO,Upper middle income,2026.0,0.7420005355290022,1.4410398543589054,False,True,False,Not classified
TKM,Turkmenistan,EURO,Upper middle income,2018.0,0.9997538158542588,0.8617505847593254,False,False,False,Not classified
UGA,Uganda,AFRO,Low income,2026.0,2.0273424904881665,0.1065076152944935,True,True,True,Primary country retained
UKR,Ukraine,EURO,Lower middle income,2026.0,0.1009820637878848,0.8763821025967322,False,True,False,Not classified
MKD,North Macedonia,EURO,Upper middle income,2025.0,0.0745888348390085,0.8622547962923044,False,True,False,Not classified
EGY,Egypt,EMRO,Lower middle income,2026.0,1.0116037292910325,0.958620919609216,False,True,False,Not classified
GBR,United Kingdom,EURO,High income,2026.0,0.293950946921895,1.225095988666151,False,True,False,Not classified
TZA,Tanzania,AFRO,Lower middle income,2026.0,1.6367935682194372,0.2466146533943144,True,True,True,Primary country retained
USA,United States of America,PAHO,High income,2026.0,0.3017051009231878,2.796113273432333,False,True,False,Not classified
BFA,Burkina Faso,AFRO,Low income,2025.0,1.4995132804895008,0.1112718370980304,True,True,True,Primary country retained
URY,Uruguay,PAHO,High income,2026.0,0.325,2.418964683115626,False,True,False,Not classified
UZB,Uzbekistan,EURO,Lower middle income,2023.0,0.9140017508625572,0.5380972879896685,False,True,False,Not classified
VEN,Venezuela,PAHO,,2026.0,0.5877827402391587,1.0707026713124277,False,True,False,Not classified
YEM,Yemen,EMRO,Low income,2018.0,1.835560380825121,0.0294524784260595,True,False,False,Primary country; record before 2023
ZMB,Zambia,AFRO,Lower middle income,2019.0,2.02839777847637,0.1038062283737024,True,False,False,Primary country; record before 2023
