country_iso3,country,who_region,income_label,gco2022_selected_cases_2022,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,selected_site_cases_2024,selected_site_cases_2050,selected_site_relative_case_growth_2050,gco2024_growth_percentile_common,mv_units_per_1000_selected_site_cases_2050,gco2022_screen_positive,current_screen_positive,burden_version_transition
MLT,Malta,EURO,High income,1259.0,2005.0,0.5925337569499602,40.939597315436245,1.4962593516209477,1378.0,2006.0,0.455732946298984,35.57046979865772,1.4955134596211366,False,False,Not screen-positive in either version
MMR,Myanmar,SEARO,Lower middle income,39397.0,63096.0,0.6015432647155875,41.61073825503356,0.3645239000887536,39466.0,62219.0,0.5765215628642376,42.95302013422819,0.3696620003535897,False,False,Not screen-positive in either version
MNE,Montenegro,EURO,Upper middle income,1508.0,1816.0,0.20424403183023873,17.449664429530202,2.202643171806167,1678.0,1778.0,0.0595947556615017,9.395973154362416,2.249718785151856,False,False,Not screen-positive in either version
MNG,Mongolia,WPRO,Lower middle income,1822.0,4585.0,1.5164654226125138,80.53691275167785,1.3086150490730644,2240.0,5332.0,1.3803571428571428,83.22147651006712,1.1252813203300824,False,False,Not screen-positive in either version
MRT,Mauritania,AFRO,Lower middle income,1690.0,4097.0,1.4242603550295858,78.52348993288591,0.9763241396143519,2003.0,4764.0,1.3784323514727908,82.5503355704698,0.8396305625524769,False,False,Not screen-positive in either version
MTQ,"France, Martinique",PAHO,,1180.0,1118.0,-0.05254237288135593,2.684563758389262,2.6833631484794274,1278.0,1011.0,-0.2089201877934272,0.6711409395973155,2.967359050445104,False,False,Not screen-positive in either version
MUS,Mauritius,AFRO,Upper middle income,1544.0,2204.0,0.4274611398963731,30.201342281879196,2.268602540834846,1596.0,2187.0,0.3703007518796992,31.543624161073826,2.286236854138089,False,False,Not screen-positive in either version
MYS,Malaysia,WPRO,Upper middle income,25802.0,54421.0,1.1091775831330906,66.44295302013423,1.3046434280884218,27920.0,57059.0,1.043660458452722,67.78523489932886,1.2443260484761387,False,False,Not screen-positive in either version
NAM,Namibia,AFRO,Upper middle income,1696.0,3685.0,1.1727594339622642,68.45637583892618,0.8141112618724559,2133.0,5107.0,1.3942803563056727,85.90604026845638,0.5874290189935383,False,False,Not screen-positive in either version
NIC,Nicaragua,PAHO,Lower middle income,3928.0,8911.0,1.2685845213849287,72.48322147651007,0.6733251038042868,3955.0,9461.0,1.3921618204804045,85.23489932885906,0.6341824331466018,False,False,Not screen-positive in either version
NLD,The Netherlands,EURO,High income,60587.0,73881.0,0.2194200075923878,18.120805369127517,2.084433074809491,59460.0,73844.0,0.2419105280861083,23.48993288590604,2.0854774930935487,False,False,Not screen-positive in either version
NOR,Norway,EURO,High income,19071.0,28646.0,0.50207120759268,33.557046979865774,1.5359910633247225,18536.0,25760.0,0.3897280966767371,32.88590604026846,1.708074534161491,False,False,Not screen-positive in either version
NPL,Nepal,SEARO,Lower middle income,10034.0,19468.0,0.9402033087502492,59.73154362416108,0.6677624820217793,11373.0,20006.0,0.7590785193000967,54.36241610738255,0.6498050584824553,False,False,Not screen-positive in either version
NZL,New Zealand,WPRO,High income,13190.0,20235.0,0.5341167551175132,36.241610738255034,1.729676303434643,13837.0,19034.0,0.3755871937558719,32.21476510067114,1.838814752548072,False,False,Not screen-positive in either version
OMN,Oman,EMRO,High income,1548.0,4058.0,1.6214470284237725,85.23489932885906,1.7249876786594383,1512.0,3338.0,1.2076719576719577,76.51006711409396,2.097064110245656,False,False,Not screen-positive in either version
PAK,Pakistan,EMRO,Lower middle income,96871.0,204920.0,1.1153905709655108,67.11409395973155,0.40991606480577786,104033.0,212338.0,1.0410638931877385,67.11409395973155,0.3955957011933804,False,False,Not screen-positive in either version
PAN,Panama,PAHO,Upper middle income,4085.0,8395.0,1.0550795593635252,64.42953020134227,1.429422275163788,4523.0,10973.0,1.42604466062348,87.91946308724832,1.0935933655335823,False,False,Not screen-positive in either version
PER,Peru,PAHO,Upper middle income,29284.0,54556.0,0.862996858352684,52.348993288590606,1.2464256910330669,31024.0,59380.0,0.9140020629190304,60.40268456375839,1.1451667228022904,False,False,Not screen-positive in either version
PHL,Philippines,WPRO,Lower middle income,94769.0,199456.0,1.1046544756196646,65.77181208053692,0.39607733033852077,76691.0,158036.0,1.060685086907199,69.12751677852349,0.4998861019008327,False,False,Not screen-positive in either version
POL,Poland,EURO,High income,117348.0,150451.0,0.2820925793366738,22.818791946308725,1.149876039374946,111802.0,134356.0,0.2017316327078227,20.80536912751678,1.287623924499092,False,False,Not screen-positive in either version
PRI,Puerto Rico,PAHO,High income,7255.0,9085.0,0.25223983459682975,21.476510067114095,2.201430930104568,8300.0,8170.0,-0.0156626506024096,4.026845637583892,2.4479804161566707,False,False,Not screen-positive in either version
PRK,Democratic People's Republic of Korea,SEARO,Low income,29997.0,47270.0,0.5758242490915758,38.92617449664429,0.04231013327691982,32902.0,44118.0,0.3408911312382226,28.859060402684566,0.0453329706695679,False,False,Not screen-positive in either version
