rt_mismatch_rank,country_iso3,gco_country,who_region,hdi_label,income_label,rt_relevant_cases_2024,rt_relevant_cases_2050,rt_relevant_absolute_case_increase_2050,rt_relevant_relative_case_growth_2050,rt_centres_with_rt,mv_therapy_units,brachytherapy_units,mv_units_per_1000_rt_relevant_cases_2050,rt_centres_per_10000_rt_relevant_cases_2050,high_growth_low_resource,rt_mismatch_score,dirac_last_update_year
11,NER,Niger,AFRO,Low HDI,Low income,7410.0,19785.0,12375.0,1.6700404858299596,1,1,0,0.05054334091483447,0.5054334091483447,1,2.5436241610738257,2021
12,CMR,Cameroon,AFRO,Medium HDI,Lower middle income,8784.0,22906.0,14122.0,1.607695810564663,2,2,0,0.08731336767659129,0.8731336767659129,1,2.5167785234899327,2023
13,KEN,Kenya,AFRO,Medium HDI,Lower middle income,21375.0,51868.0,30493.0,1.4265730994152046,10,18,6,0.34703478059689985,1.9279710033161102,1,2.496644295302014,2026
14,BGD,Bangladesh,SEARO,Medium HDI,Lower middle income,114044.0,226530.0,112486.0,0.9863386061520115,18,37,10,0.16333377477596786,0.7945967421533572,0,2.4630872483221475,2026
15,SDN,Sudan,EMRO,Low HDI,Low income,19880.0,46553.0,26673.0,1.3417002012072434,3,6,0,0.12888535647541513,0.6444267823770756,1,2.4630872483221475,2022
16,MLI,Mali,AFRO,Low HDI,Low income,7181.0,18269.0,11088.0,1.5440746414148447,1,2,0,0.10947506705347856,0.5473753352673929,1,2.4496644295302015,2026
17,SYR,Syrian Arab Republic,EMRO,Medium HDI,Low income,14229.0,35772.0,21543.0,1.5140206620282521,4,13,2,0.36341272503634126,1.1181930001118192,1,2.442953020134228,2023
18,CIV,C̫te d'Ivoire,AFRO,Low HDI,Lower middle income,11712.0,28574.0,16862.0,1.4397199453551912,2,4,0,0.13998740113389796,0.6999370056694898,1,2.422818791946309,2026
19,COL,Colombia,PAHO,High HDI,Upper middle income,56862.0,133374.0,76512.0,1.345573493721642,59,98,30,0.7347758933525275,4.423650786510114,0,2.4161073825503356,2026
20,BFA,Burkina Faso,AFRO,Low HDI,Low income,7191.0,17974.0,10783.0,1.4995132804895008,1,2,0,0.11127183709803048,0.5563591854901524,1,2.4161073825503356,2025
21,PAK,Pakistan,EMRO,Low HDI,Lower middle income,104033.0,212338.0,108305.0,1.0410638931877385,28,84,16,0.3955957011933804,1.318652337311268,0,2.402684563758389,2026
22,PHL,Philippines,WPRO,High HDI,Lower middle income,76691.0,158036.0,81345.0,1.060685086907199,63,79,19,0.4998861019008327,3.9864334708547418,0,2.38255033557047,2026
23,IND,India,SEARO,Medium HDI,Lower middle income,920812.0,1685904.0,765092.0,0.8308883898124698,464,791,279,0.46918448500033216,2.752232630090444,0,2.3422818791946307,2026
24,GTM,Guatemala,PAHO,Medium HDI,Upper middle income,9266.0,22823.0,13557.0,1.4630908698467515,5,8,5,0.3505235946194628,2.1907724663716426,1,2.3355704697986575,2026
25,MDG,Madagascar,AFRO,Low HDI,Low income,11058.0,25555.0,14497.0,1.3109965635738832,2,3,1,0.11739385638818235,0.782625709254549,1,2.3355704697986575,2022
