country_iso3,country,who_region,income_label,gco2022_selected_cases_2025,gco2022_selected_cases_2050,gco2022_selected_growth_2025_2050,gco2022_common_year_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,gco2024_selected_cases_2025,gco2024_selected_cases_2050,gco2024_selected_growth_2025_2050,gco2024_common_year_growth_percentile,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,common_year_burden_version_transition
NER,Niger,AFRO,Low income,4669.0,12513.0,1.6800171342899979,94.63087248322147,0.07991688643810436,7691,19785,1.5724873228448837,97.31543624161074,0.05054334091483447,True,True,Retained
RWA,Rwanda,AFRO,Low income,3859.0,9245.0,1.395698367452708,86.57718120805369,0.21633315305570577,6817,15430,1.2634589995599237,81.20805369127517,0.12961762799740764,True,True,Retained
SDN,Sudan,EMRO,Low income,14592.0,33031.0,1.2636376096491229,79.86577181208054,0.18164754321697799,20610,46553,1.2587578845220766,80.53691275167785,0.12888535647541513,True,True,Retained
SEN,Senegal,AFRO,Lower middle income,6655.0,16594.0,1.4934635612321563,91.94630872483222,0.2410509822827528,7429,17579,1.3662673307309194,90.60402684563759,0.22754422890949427,True,True,Retained
SYR,Syrian Arab Republic,EMRO,Low income,14229.0,34967.0,1.4574460608616207,89.93288590604027,0.371779106014242,14963,35772,1.3906970527300675,92.61744966442953,0.36341272503634126,True,True,Retained
TGO,Togo,AFRO,Low income,3190.0,6966.0,1.1836990595611285,76.51006711409396,0.1435544071202986,3987,8394,1.1053423626787058,75.16778523489933,0.11913271384322136,True,True,Retained
TZA,Tanzania,AFRO,Lower middle income,33944.0,87982.0,1.5919750176761724,93.95973154362416,0.1250255734127435,17519,44604,1.546035732633141,95.9731543624161,0.2466146533943144,True,True,Retained
UGA,Uganda,AFRO,Low income,18400.0,52695.0,1.8638586956521739,97.31543624161074,0.09488566277635449,16207,46945,1.8965878941198249,99.32885906040269,0.10650761529449355,True,True,Retained
YEM,Yemen,EMRO,Low income,8069.0,19134.0,1.371297558557442,83.89261744966443,0.052262987352357064,12489,33953,1.7186323965089279,97.98657718120806,0.029452478426059553,True,True,Retained
ZMB,Zambia,AFRO,Lower middle income,8773.0,26536.0,2.0247349823321557,98.65771812080537,0.11305396442568585,10009,28900,1.8874013387950843,98.65771812080537,0.10380622837370242,True,True,Retained
ALB,Albania,EURO,Upper middle income,4783.0,6106.0,0.2766046414384278,26.174496644295303,0.6550933508024893,4934,5453,0.10518848804215647,15.436241610738255,0.7335411699981661,False,False,Not screen-positive in either version
ARE,United Arab Emirates,EMRO,High income,2811.0,9450.0,2.3617929562433297,100.0,2.1164021164021163,4359,6441,0.47763248451479695,38.92617449664429,3.1051079024996118,False,False,Not screen-positive in either version
ARG,Argentina,PAHO,Upper middle income,69618.0,107542.0,0.544744175356948,42.281879194630875,1.2181287311004072,67245,101667,0.5118893598037029,40.26845637583892,1.2885203655069983,False,False,Not screen-positive in either version
ARM,Armenia,EURO,Upper middle income,4519.0,5730.0,0.2679796415136092,23.48993288590604,1.3961605584642234,5791,7994,0.38041788982904506,34.22818791946309,1.0007505629221916,False,False,Not screen-positive in either version
AUS,Australia,WPRO,High income,76276.0,112753.0,0.47822381876343806,38.92617449664429,1.986643370908091,77045,112085,0.45479914335777794,37.58389261744966,1.9984832939287147,False,False,Not screen-positive in either version
AUT,Austria,EURO,High income,24233.0,29513.0,0.21788470267816615,20.80536912751678,1.9652356588621964,23333,27849,0.19354562208031542,21.476510067114095,2.0826600596071674,False,False,Not screen-positive in either version
AZE,Azerbaijan,EURO,Upper middle income,9654.0,15636.0,0.6196395276569298,45.63758389261745,0.6395497569710924,6380,10177,0.595141065830721,46.308724832214764,0.9826078412105729,False,False,Not screen-positive in either version
BEL,Belgium,EURO,High income,42233.0,52076.0,0.23306419150900953,22.14765100671141,1.901067670327982,41135,49806,0.21079372796888296,22.14765100671141,1.9877123238164076,False,False,Not screen-positive in either version
BGD,Bangladesh,SEARO,Lower middle income,113752.0,213524.0,0.8771010619593501,63.758389261744966,0.17328262865064348,117515,226530,0.9276688082372463,64.42953020134227,0.16333377477596786,False,False,Not screen-positive in either version
BGR,Bulgaria,EURO,Upper middle income,16436.0,15783.0,-0.03972986128011682,2.684563758389262,3.0412469112336056,16670,15777,-0.05356928614277145,3.3557046979865772,3.0424034987640236,False,False,Not screen-positive in either version
BHR,Bahrain,EMRO,High income,775.0,2259.0,1.9148387096774193,97.98657718120806,0.8853474988933157,1072,2011,0.8759328358208955,62.41610738255034,0.9945300845350572,False,False,Not screen-positive in either version
BHS,Bahamas,PAHO,High income,657.0,1135.0,0.7275494672754946,52.348993288590606,0.8810572687224669,706,1152,0.6317280453257791,48.322147651006716,0.8680555555555556,False,False,Not screen-positive in either version
BIH,Bosnia Herzegovina,EURO,Upper middle income,7117.0,7731.0,0.08627230574680343,7.38255033557047,2.5869874531108525,7306,7438,0.018067341910758282,7.38255033557047,2.6888948642108095,False,False,Not screen-positive in either version
BLR,Belarus,EURO,Upper middle income,24601.0,26938.0,0.094996138368359,8.053691275167784,1.2992798277526172,23475,25445,0.08391906283280086,13.422818791946309,1.375515818431912,False,False,Not screen-positive in either version
BOL,Bolivia (Plurinational State of),PAHO,Lower middle income,7683.0,14408.0,0.8753091240400885,63.08724832214765,1.110494169905608,7034,13579,0.930480523173159,65.77181208053692,1.1782900066278812,False,False,Not screen-positive in either version
BRA,Brazil,PAHO,Upper middle income,361446.0,621415.0,0.7192471351183856,51.67785234899329,0.5954153021732659,339422,575249,0.6947899664724149,52.348993288590606,0.6431997274223857,False,False,Not screen-positive in either version
BRB,Barbados,PAHO,High income,618.0,736.0,0.19093851132686085,19.463087248322147,4.076086956521739,618,713,0.15372168284789645,18.79194630872483,4.207573632538569,False,False,Not screen-positive in either version
BRN,Brunei Darussalam,WPRO,High income,475.0,925.0,0.9473684210526315,67.78523489932886,2.1621621621621623,414,799,0.9299516908212561,65.1006711409396,2.5031289111389237,False,False,Not screen-positive in either version
BWA,Botswana,AFRO,Upper middle income,1401.0,2956.0,1.1099214846538188,73.8255033557047,1.0148849797023005,1715,3902,1.2752186588921284,81.87919463087249,0.7688364941055869,False,False,Not screen-positive in either version
CAN,Canada,PAHO,High income,135339.0,188832.0,0.3952519229490391,32.88590604026846,1.5675309269615318,130731,179388,0.37219175253000436,33.557046979865774,1.6500546301870804,False,False,Not screen-positive in either version
CHE,Switzerland,EURO,High income,27160.0,37685.0,0.38751840942562593,32.21476510067114,2.2555393392596526,26615,35332,0.32752207401841066,30.201342281879196,2.405751160421148,False,False,Not screen-positive in either version
